cell_id,row,col,lon,lat,Post,D_i,deaths,dist_fence_km,dist_gap_km,Post_x_Di,Post_x_fence,Post_x_gap,sector,apprehensions,log_apprehensions
31_62,31,62,-112.45,32.186,1.0,-2.6903788038606877,0,43.68399001513105,109.07350758158442,-2.6903788038606877,43.68399001513105,109.07350758158442,tucson,125527,11.740276153857035
31_63,31,63,-112.406,32.186,0.0,-2.7275820282154104,3,45.07431763925389,106.10317266732136,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_63,31,63,-112.406,32.186,1.0,-2.7275820282154104,0,45.07431763925389,106.10317266732136,-2.7275820282154104,45.07431763925389,106.10317266732136,tucson,125527,11.740276153857035
31_64,31,64,-112.36200000000001,32.186,0.0,-2.0264470784765605,1,46.522950103976434,103.2154077089472,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_64,31,64,-112.36200000000001,32.186,1.0,-2.0264470784765605,1,46.522950103976434,103.2154077089472,-2.0264470784765605,46.522950103976434,103.2154077089472,tucson,125527,11.740276153857035
31_65,31,65,-112.318,32.186,0.0,-2.5821043956900147,0,47.937285590854515,100.41732880193216,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_65,31,65,-112.318,32.186,1.0,-2.5821043956900147,1,47.937285590854515,100.41732880193216,-2.5821043956900147,47.937285590854515,100.41732880193216,tucson,125527,11.740276153857035
31_67,31,67,-112.23,32.186,0.0,-2.0323528429551634,0,50.73902232653587,95.12160774103944,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_67,31,67,-112.23,32.186,1.0,-2.0323528429551634,2,50.73902232653587,95.12160774103944,-2.0323528429551634,50.73902232653587,95.12160774103944,tucson,125527,11.740276153857035
31_68,31,68,-112.186,32.186,0.0,-2.3590642342734167,1,52.155729753557196,92.64112601903206,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_68,31,68,-112.186,32.186,1.0,-2.3590642342734167,3,52.155729753557196,92.64112601903206,-2.3590642342734167,52.155729753557196,92.64112601903206,tucson,125527,11.740276153857035
31_69,31,69,-112.142,32.186,0.0,-2.28676791094392,1,53.58486821636516,90.28462182808481,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_69,31,69,-112.142,32.186,1.0,-2.28676791094392,0,53.58486821636516,90.28462182808481,-2.28676791094392,53.58486821636516,90.28462182808481,tucson,125527,11.740276153857035
31_71,31,71,-112.054,32.186,0.0,-2.7203709127979385,1,56.420543028527405,85.98376297450913,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_71,31,71,-112.054,32.186,1.0,-2.7203709127979385,0,56.420543028527405,85.98376297450913,-2.7203709127979385,56.420543028527405,85.98376297450913,tucson,125527,11.740276153857035
31_72,31,72,-112.01,32.186,0.0,-2.351822994670342,1,57.83946077465741,84.060483816431,-0.0,0.0,0.0,tucson,431012,12.973891210925675
31_72,31,72,-112.01,32.186,1.0,-2.351822994670342,0,57.83946077465741,84.060483816431,-2.351822994670342,57.83946077465741,84.060483816431,tucson,125527,11.740276153857035
